,Name,Intro,Link
550,Feelter,Leveraging Social Media Content,https://finder.startupnationcentral.org/company_page/feelter
551,ICS2,Intelligent Cyber Security for Industrial Control Systems,https://finder.startupnationcentral.org/company_page/ics2
552,Virtual Crypto Technologies,Bitcoin Automatic Teller Machine,https://finder.startupnationcentral.org/company_page/virtual-crypto
553,Finzor,Digital Investment Platform,https://finder.startupnationcentral.org/company_page/finzor
554,Kesem.io,Secure Blockchain Transactions,https://finder.startupnationcentral.org/company_page/kesem-io
555,Awonna,eCommerce API for Retention and Sales,https://finder.startupnationcentral.org/company_page/awonna
556,Gallumba,Risk Management Software for Traders,https://finder.startupnationcentral.org/company_page/gallumba
557,G-NIUS,Unmanned Ground Systems,https://finder.startupnationcentral.org/company_page/g-nius
558,Protai,AI-based Platform for Protein Analysis,https://finder.startupnationcentral.org/company_page/protai
559,meshek{76};,AI-based Autonomous Agriculture,https://finder.startupnationcentral.org/company_page/meshek76
560,Cognilyze,Psychology-based Product Recommendations,https://finder.startupnationcentral.org/company_page/cognilyze
561,ExpoLike,Cloud-based Online Event Platform,https://finder.startupnationcentral.org/company_page/expolike
562,Veego Software,Connected Home Experience Solutions,https://finder.startupnationcentral.org/company_page/veego-software
563,Actiview,VR-driven Candidate Assessment Platform,https://finder.startupnationcentral.org/company_page/actiview
564,BestMatch,Product Recommendation Tool,https://finder.startupnationcentral.org/company_page/bestmatch
565,Grabya,Digital-out-of-home Advertising Solution,https://finder.startupnationcentral.org/company_page/grabya
566,Forter,Fraud Prevention for Ecommerce,https://finder.startupnationcentral.org/company_page/forter
567,Trekeye,Smart Building Management Platform,https://finder.startupnationcentral.org/company_page/trekeye
568,SenseIT,SaaS-based Automatic Tool for Functional Testing of Web Accessibility,https://finder.startupnationcentral.org/company_page/senseit
569,Vesttoo,Risk-management Solutions for the P&C and Longevity Insurance Markets,https://finder.startupnationcentral.org/company_page/vesttoo
570,All Aspect,Turnkey AI Marketing Solution,https://finder.startupnationcentral.org/company_page/all-aspect
571,TapOnIt,Mobile Game Development Studio,https://finder.startupnationcentral.org/company_page/taponit
572,CommBox,Multichannel Customer Management Platform,https://finder.startupnationcentral.org/company_page/bumpyard
573,Echelon Technologies,AI Technology for Financial Services,https://finder.startupnationcentral.org/company_page/echelon-technologies
574,Askrround,Recommendation Platform for Services in the U.S.,https://finder.startupnationcentral.org/company_page/askrround
575,Yotta Green,Household Energy Optimization System,https://finder.startupnationcentral.org/company_page/yotta-green
576,RealFriend,AI-powered Real Estate Agents for Apartment Rentals,https://finder.startupnationcentral.org/company_page/realfriend
577,Play My Tone,Personalized Music Recommendation Platform,https://finder.startupnationcentral.org/company_page/play-my-tone
578,Agamon,Healthcare Data Platform,https://finder.startupnationcentral.org/company_page/agamon
579,LinguisTech Solutions,Phonetic Speech-recognition Technology,https://finder.startupnationcentral.org/company_page/linguistech-solutions
580,QueryM,Platform for Allowing Service Reps to Provide Fast & Accurate Answers to Calling Customers,https://finder.startupnationcentral.org/company_page/querym
581,Poiike Foodtec,Digital Cooking Guide,https://finder.startupnationcentral.org/company_page/poiike
582,K Health,AI Personal Health Assistant,https://finder.startupnationcentral.org/company_page/kang-health
583,BBetter Solutions,Wellbeing Evaluation Platform for Organizations,https://finder.startupnationcentral.org/company_page/bbetter-solutions
584,digitall,Conversational AI Solutions,https://finder.startupnationcentral.org/company_page/digitall
585,Snip Today,Blockchain-based News Platform,https://finder.startupnationcentral.org/company_page/snip
586,Galooli,Remotely Managed IoT Solutions for Connected Assets,https://finder.startupnationcentral.org/company_page/galooli
587,Xsight Systems,Advanced Hazard Detection Solutions for Safe and Efficient Runways,https://finder.startupnationcentral.org/company_page/xsight-systems
588,EyeMind,Virtual Reality ADHD Diagnosis,https://finder.startupnationcentral.org/company_page/eyemind
589,BrainTalk,Software for Detecting Cognitive Deficits,https://finder.startupnationcentral.org/company_page/braintalk
590,Demandoo Insurance,Global On-demand Insurance Solutions,https://finder.startupnationcentral.org/company_page/demandoo-insurance
591,Brillianetor,"Social AI Platform for Bots, Robots, and Machines",https://finder.startupnationcentral.org/company_page/brillianetor
592,Agent Video Intelligence,Comprehensive Video Analytics Solutions,https://finder.startupnationcentral.org/company_page/agent-video-intelligence
593,YuviTal,Digital Health and Fitness Solutions for Organizations,https://finder.startupnationcentral.org/company_page/rumble1
594,Talenya,AI-powered Automated Talent Sourcing,https://finder.startupnationcentral.org/company_page/talenya
595,Lynx.MD,AI-based Data Collaboration Platform for the Healthcare Community,https://finder.startupnationcentral.org/company_page/lynx-md
596,Pick a Pier,Sustainability Platform for Boaters and Marinas,https://finder.startupnationcentral.org/company_page/pick-a-pier
597,Geneyx,AI-based Genetic Data Analysis Platform,https://finder.startupnationcentral.org/company_page/geneyx
598,Soos Technology,Poultry Embryo Sex Determination,https://finder.startupnationcentral.org/company_page/soos
599,RAPIDA Remote Sensing,Automated Sensing System for Real-time Building Inspection and Monitoring,https://finder.startupnationcentral.org/company_page/rapida-remote-sensing
600,ReachMore,Mobile App for People with PTSD,https://finder.startupnationcentral.org/company_page/reachmore
601,SerVision,Video Recording and Transmission Systems,https://finder.startupnationcentral.org/company_page/servision
602,Compentex,Medication Recognition System,https://finder.startupnationcentral.org/company_page/compentex
603,Nanit,Smart Baby Monitor and Sleep Tracker Devices,https://finder.startupnationcentral.org/company_page/nanit
604,Eco Fusion,Personalized Neuro-digital Therapeutics Platform,https://finder.startupnationcentral.org/company_page/eco-fusion
605,Walana,Healthcare Chatbots for Better Health Management,https://finder.startupnationcentral.org/company_page/walana
606,SmartAir,Asthma Prediction and Prevention Device,https://finder.startupnationcentral.org/company_page/smartair
607,Imvision,API Security Solution,https://finder.startupnationcentral.org/company_page/imvision-technologies
608,Sweetch,Hyper-personalized Engagement Solutions for Chronic Conditions,https://finder.startupnationcentral.org/company_page/sweetch
609,Beyeonics Surgical,Surgical Visualization Technologies,https://finder.startupnationcentral.org/company_page/beyeonics-surgical
610,Kami Computing,Conversational Artificial Intelligence for Voice Platforms,https://finder.startupnationcentral.org/company_page/kami-computing
611,Cintake,Virtual Therapist App,https://finder.startupnationcentral.org/company_page/cintake
612,Binamic Health,Wearable Tracker of PD Symptoms,https://finder.startupnationcentral.org/company_page/binamic
613,Swathly,Sales Intelligence Software,https://finder.startupnationcentral.org/company_page/swathly
614,Autonomeye,Smart Glasses for Blind Individuals,https://finder.startupnationcentral.org/company_page/autonomeye
615,accessiBe,AI-powered Web Accessibility Technology,https://finder.startupnationcentral.org/company_page/accessibe
616,Dialogue,AI-powered Customer Message Creation,https://finder.startupnationcentral.org/company_page/dialogue
617,Panoply,Financial Data Warehouse as a Service,https://finder.startupnationcentral.org/company_page/color
618,SQream Technologies,Big Data Analytics Database,https://finder.startupnationcentral.org/company_page/sqream-technologies
619,LadySense,Remote Gynecological Examination Platform,https://finder.startupnationcentral.org/company_page/ladysense-ltd
620,JOIN TECHNOLOGIES,Social VR Discovery Platform,https://finder.startupnationcentral.org/company_page/joinvr
621,Applied Machine Learning,Industrial Safety and Process Anomaly Solutions Based on Computer Vision,https://finder.startupnationcentral.org/company_page/applied-machine-learning
622,Cannatrix,Data Analysis for Cannabis Growers,https://finder.startupnationcentral.org/company_page/cannatrix
623,CathWorks,Noninvasive FFR Measurements for Coronary Interventions,https://finder.startupnationcentral.org/company_page/cathworks
624,UMatch Analytics,BI Platform for Creating and Mapping Hi-tech Ecosystems,https://finder.startupnationcentral.org/company_page/match
625,Solo,Using Emotion-based Data for Increased Engagement,https://finder.startupnationcentral.org/company_page/2gether-music
626,Voiceitt,Voice Recognition Technology for Non-standard Speech,https://finder.startupnationcentral.org/company_page/voiceitt
627,Guardian Optical Technologies,Sensor Technology for Cabin Occupancy,https://finder.startupnationcentral.org/company_page/guardian-optical-technologies
628,WITI Sense,Remote Sensing for Monitoring Plant Health,https://finder.startupnationcentral.org/company_page/witi-sense
629,PlayBatch,Hybrid-casual Gaming Platform,https://finder.startupnationcentral.org/company_page/playbatch
630,Deep Instinct,Cybersecurity Platform Powered by Deep Learning,https://finder.startupnationcentral.org/company_page/deep-instinct
631,7Twenty,Cross-channel CRM Platform,https://finder.startupnationcentral.org/company_page/7twenty
632,PAI-TECH,AI-driven Autonomous Bots,https://finder.startupnationcentral.org/company_page/pai-tech
633,Rep,AI-based Sales Representative for Online Retailers,https://finder.startupnationcentral.org/company_page/viavoice
634,Reveal,Conversation Analysis Platform for Customer Service Representatives,https://finder.startupnationcentral.org/company_page/reveal-labs
635,Zencity,Data-driven Decision-making for Local Governments,https://finder.startupnationcentral.org/company_page/zencity
636,LawGeex,AI-powered Contract Review Automation,https://finder.startupnationcentral.org/company_page/lawgeex
637,Constru,AI Construction Platform,https://finder.startupnationcentral.org/company_page/constru
638,Radical AI,AI-based Tools for Radiologists,https://finder.startupnationcentral.org/company_page/radical-ai
639,DoQme,Cloud-based Algorithms for Rapid Diagnostic Assistance,https://finder.startupnationcentral.org/company_page/doqme
640,Theator,Surgical Intelligence Platform,https://finder.startupnationcentral.org/company_page/theator
641,Findings,Automated Security Risk Assessment Platform,https://finder.startupnationcentral.org/company_page/idrra
642,Locriti,AI-driven Infant Sleep Coach,https://finder.startupnationcentral.org/company_page/locriti
643,attentive.ai,AI Documentation Software for Caregivers,https://finder.startupnationcentral.org/company_page/attentive-ai
644,printXray Medical Vision,Machine Learning for Orthopedics,https://finder.startupnationcentral.org/company_page/printxray-medical-vision
645,IRONSCALES,Automated Anti-Phishing Cybersecurity and Training,https://finder.startupnationcentral.org/company_page/ironscales
646,Panacea.ai,AI Personal Assistant for Patient Engagement and Compliance,https://finder.startupnationcentral.org/company_page/panacea-ai
647,bubble Health,AI and VR-based Therapies for Cancer Patients,https://finder.startupnationcentral.org/company_page/bubble
648,Solid AI,AI-based Hearing Aids,https://finder.startupnationcentral.org/company_page/solid-ai
649,WalkOut,Autonomous Checkout Carts,https://finder.startupnationcentral.org/company_page/walkout
650,Intendu Technologies,Cognitive Training for People with Brain Dysfunctions,https://finder.startupnationcentral.org/company_page/intendu
651,DiA Imaging Analysis,AI-driven Ultrasound Analysis,https://finder.startupnationcentral.org/company_page/DiA-Imaging-Analysis
652,Pellesus,Horse Wellness Monitoring and Performance Solution,https://finder.startupnationcentral.org/company_page/pellesus
653,Swish.ai,IT Delivery Intelligence Platform,https://finder.startupnationcentral.org/company_page/deepcoding
654,Springya,Data-driven Platform for Healthcare Providers,https://finder.startupnationcentral.org/company_page/springya
655,Voyager Labs,Cognitive Computing for Understanding Human Behavior,https://finder.startupnationcentral.org/company_page/voyager-labs
656,Parenting Science,Developmental Health Platform for Babies,https://finder.startupnationcentral.org/company_page/mbg
657,KarenApp,Personal Diet and Wellness Coach,https://finder.startupnationcentral.org/company_page/karenapp
658,Ophthalmic Sciences,"Non-contact, Fast, and Accurate IOP Measurement Device",https://finder.startupnationcentral.org/company_page/ophthalmic-sciences
659,babyTRACKS,Child Developmental Diary,https://finder.startupnationcentral.org/company_page/baby-croinc
660,FinCom,Regulatory Self-compliance System,https://finder.startupnationcentral.org/company_page/fincom
661,Caring Eye,Sensor for Safely Monitoring Children in Vehicles,https://finder.startupnationcentral.org/company_page/caring-eye-inc
662,StuffThatWorks,Platform for Treatment Optimization,https://finder.startupnationcentral.org/company_page/stuffthatworks
663,Medivizor,Personalized Health Information Platform,https://finder.startupnationcentral.org/company_page/medivizor
664,Sleeprate,"SaaS Solution for Sleep Monitoring, Assessment, and Therapy",https://finder.startupnationcentral.org/company_page/sleeprate
665,Real Imaging,3D Breast Imaging,https://finder.startupnationcentral.org/company_page/real-imaging
666,DeepOncology AI,Visual Detection Technology for Liver Cancer,https://finder.startupnationcentral.org/company_page/deeponcology-ai
667,MYOR,Noninvasive Skin Analysis for Personalized Pediatric Health Interventions,https://finder.startupnationcentral.org/company_page/myor
668,LidrTech,Parental Control App,https://finder.startupnationcentral.org/company_page/lidrtech
669,OneStep,Digital Physical Therapy,https://finder.startupnationcentral.org/company_page/celloscope
670,SONICLUE,Preventive Automotive Maintenance Technology,https://finder.startupnationcentral.org/company_page/soniclue
671,TailorMed,End-to-end Financial Navigation Solution for Healthcare Providers,https://finder.startupnationcentral.org/company_page/tailormed-medical
672,BioEye,Monitoring Cognitive States through the Eyes,https://finder.startupnationcentral.org/company_page/bioeye
673,iBuddy CyberProtection,Cyber Bullying Prevention Platform,https://finder.startupnationcentral.org/company_page/ibuddy
674,Keepers Child Safety,Mobile App to Protect Children from Online Dangers,https://finder.startupnationcentral.org/company_page/keepers-child-safety
675,INTSITE,Enhancing Safety and Efficiency of Heavy Machinery with AI-powered Automation,https://finder.startupnationcentral.org/company_page/intsite
676,GeoQuant Technologies,Political Risk Management,https://finder.startupnationcentral.org/company_page/geoquant
677,mediTective,Software Engine for Polyp Detection in the Gastrointestinal Tract,https://finder.startupnationcentral.org/company_page/meditective
678,BiotaX Labs,Biological and Genomic Informatics Solutions,https://finder.startupnationcentral.org/company_page/biotax
679,InnerSight,Medical Imaging System for Stroke Triage,https://finder.startupnationcentral.org/company_page/innersight
680,Skelable,Wearable Device for Rehabilitation,https://finder.startupnationcentral.org/company_page/skelable
681,CogAid,Assistive Tools for Workers with Cognitive Disabilities,https://finder.startupnationcentral.org/company_page/cogaid
682,Viewly Media,Personalized Donation Solution for Nonprofits,https://finder.startupnationcentral.org/company_page/viewly
683,eWave MD,End-to-end Solutions for Public and Private Health Organizations,https://finder.startupnationcentral.org/company_page/ewave-md
684,WizeCare,Remote Physical Therapy Platform,https://finder.startupnationcentral.org/company_page/wizecare-technologies
685,Bosco,Real-time Threat Monitoring and Prevention for Parents,https://finder.startupnationcentral.org/company_page/bosco
686,We Go Vision,Wearable Navigation System for the Blind and Visually Impaired,https://finder.startupnationcentral.org/company_page/we-go-vision-ltd
687,Ukko,Safer Proteins for People with Food Allergies and Sensitivities,https://finder.startupnationcentral.org/company_page/ukko
688,Crispify,Automotive In-cabin Air Quality and User Experience Management System,https://finder.startupnationcentral.org/company_page/crispify
689,FamilyKeeper,Protecting Children from Online Threats,https://finder.startupnationcentral.org/company_page/koala-apps
690,Selfit Medical,Smart Digital Therapy Platform for the Aging Population,https://finder.startupnationcentral.org/company_page/selfit-medical
691,NavonTech,Diabetes Monitoring Watch,https://finder.startupnationcentral.org/company_page/navontech
692,Iluria,Biomarker-based ADHD Monitoring,https://finder.startupnationcentral.org/company_page/iluria-ltd1
693,GiantLeap,Personalized Child Development Assessment Platform,https://finder.startupnationcentral.org/company_page/giantleap-technologies
694,Senecio Robotics,Solutions for Fighting Disease-spreading Mosquitoes,https://finder.startupnationcentral.org/company_page/senecio
695,TikTalk,AI-based Telehealth Platform for Speech Therapy,https://finder.startupnationcentral.org/company_page/tiktalk2me
696,JustDrive,Predictive Behavior Technology for Increased Driver Safety,https://finder.startupnationcentral.org/company_page/radiomize
697,Symbolab,Semantic Search Engine for Math,https://finder.startupnationcentral.org/company_page/symbolab
698,examPAL,Personalized Online Test Prep,https://finder.startupnationcentral.org/company_page/world-wide-prep
699,Irody,Holistic Telehealth Solution,https://finder.startupnationcentral.org/company_page/irody
700,HiredScore,Data-driven Job Applicant Analysis,https://finder.startupnationcentral.org/company_page/hiredscore
701,EyeControl,Wearable Assistive Communication Device,https://finder.startupnationcentral.org/company_page/eyecontrol
702,Juno Journey,Personalized Employee Development Platform,https://finder.startupnationcentral.org/company_page/coursefit
703,IDEEZA,No-code Hardware Product Development Platform,https://finder.startupnationcentral.org/company_page/ideeza
704,myAir,Personalized Plant-based Nutrition for Stress Management,https://finder.startupnationcentral.org/company_page/my-bis
705,Fan-Ye Tutor,Blockchain-based Decentralized Platform for Mobile Learning,https://finder.startupnationcentral.org/company_page/brandedpages
706,Tailor-ED,Holistic Personalized Learning,https://finder.startupnationcentral.org/company_page/tailored
707,Teamogic,AI-powered Teamwork Optimization for Contact Centers,https://finder.startupnationcentral.org/company_page/teamogic
708,Whatslly,Enterprise-level Conversational Sales Solutions,https://finder.startupnationcentral.org/company_page/overstack-io
709,Karta Hub,Teaching Higher-order Thinking Skills,https://finder.startupnationcentral.org/company_page/karta-hub
710,TrainPain,Digital Therapeutics Platform for Sensory Health,https://finder.startupnationcentral.org/company_page/games-for-pain
711,FIDO,Short-term Loans for Underserved Markets,https://finder.startupnationcentral.org/company_page/fido
712,Class.Me,Social Learning App,https://finder.startupnationcentral.org/company_page/class-me
713,Castory,Construction Monitoring Platform,https://finder.startupnationcentral.org/company_page/castory
714,Brightmerge,Optimization Platform for Renewable Energy Micro-grid Systems,https://finder.startupnationcentral.org/company_page/brightmerge-israel
715,Derma Detect,AI-driven Digital Diagnostics for Skin Disorders,https://finder.startupnationcentral.org/company_page/derma-detect
716,GlucoMe,Digital Diabetes Management Solution,https://finder.startupnationcentral.org/company_page/glucome
717,Diagnostic Robotics,Predictive Healthcare Analytics,https://finder.startupnationcentral.org/company_page/diagnostic-robotics
718,LeO,Virtual Assistant for Insurance Professionals,https://finder.startupnationcentral.org/company_page/leo
719,QualiTest Group,Software Testing and Business Assurance Solutions,https://finder.startupnationcentral.org/company_page/qualitest-group
720,Click-Ins,Automatic Vehicle Damage Inspection,https://finder.startupnationcentral.org/company_page/Click-Ins
721,Mobility Insight,Urban Traffic Management Technology,https://finder.startupnationcentral.org/company_page/mobilityinsight
722,OutOfScreens,3D Printing Technology,https://finder.startupnationcentral.org/company_page/outofscreens
723,VAYU Sense,Detection of Fluctuations in Gaseous Concentrations,https://finder.startupnationcentral.org/company_page/vayu-sense
724,Mycelium,Route Management and Optimization,https://finder.startupnationcentral.org/company_page/mycelium
725,Smartech,Technology Solutions for Production Lines,https://finder.startupnationcentral.org/company_page/t-i-p-the-industry-pivot
726,Halo Digital,Digital Replica for Smart Manufacturing,https://finder.startupnationcentral.org/company_page/halo-analytics
727,GreenQ,Optimization and Monitoring of Waste Collection,https://finder.startupnationcentral.org/company_page/greenq1
728,AIRLIFT One,Electric VTOL Air Taxi for Transporting People and Goods,https://finder.startupnationcentral.org/company_page/airlift-one
729,Librimind,AI-based Sustainable Industrial Solutions,https://finder.startupnationcentral.org/company_page/librimind
730,AutoFleet,End-to-end Vehicle-as-a-service Platform,https://finder.startupnationcentral.org/company_page/autofleet
731,PrintSyst,AI-powered Software Solution for 3D Printing,https://finder.startupnationcentral.org/company_page/printsyst
732,TRCKD.io,IoT Solution for Supply Chain Tracking,https://finder.startupnationcentral.org/company_page/trckd-io1
733,Aperio Systems,Industrial IoT Data Integrity Solutions,https://finder.startupnationcentral.org/company_page/aperio-systems
734,V5 Group,AI-based Quality-control Solution for Manufacturing Plants,https://finder.startupnationcentral.org/company_page/v5-group
735,Tailor Brands,Online Platform for Brand Design,https://finder.startupnationcentral.org/company_page/tailor-brands
736,SIGA,SCADA Cybersecurity and Anomaly Detection,https://finder.startupnationcentral.org/company_page/siga
737,Materials Zone,Advanced Materials Discovery Platform,https://finder.startupnationcentral.org/company_page/materials-zone
738,EZMEMS,Smart Plastic Sensors for IoT and Edge Systems,https://finder.startupnationcentral.org/company_page/ezmems
739,Allerguard,Food Allergen Sensor,https://finder.startupnationcentral.org/company_page/allerguard
740,FOTONICA,Energy-saving Light Systems for Plants,https://finder.startupnationcentral.org/company_page/florafotonica
741,Illumigyn,Cloud-based Platform for Gynecological Imaging Services,https://finder.startupnationcentral.org/company_page/illumigyn
742,Plataine,Automation Solutions for Advanced Manufacturing,https://finder.startupnationcentral.org/company_page/plataine
743,OptimalPlus,"Analytics Solutions for the Automotive, Semiconductor, and Electronics Industries",https://finder.startupnationcentral.org/company_page/optimal2
744,Vibe Imaging Analytics,Quality Control Through Computer Vision,https://finder.startupnationcentral.org/company_page/vibe-imaging-analytics
745,Selffer,Cloud Platform for Managing Event Photos,https://finder.startupnationcentral.org/company_page/selffer
746,Precognize,Predictive Analytics for the Process Industry,https://finder.startupnationcentral.org/company_page/precog
747,FarmSee,Livestock Growth and Monitoring Solutions,https://finder.startupnationcentral.org/company_page/farmsense
748,Stog,Automated Aeroponics,https://finder.startupnationcentral.org/company_page/stog
749,Qsee,Automating Quality Predictive Analytics,https://finder.startupnationcentral.org/company_page/qsee
750,UMo Urban Mobility,AI for Sustainable Transportation in Smart Cities,https://finder.startupnationcentral.org/company_page/umo-urban-mobility
751,Seedwiz,Geographical Information System and AI Platform for Seed Selection and Trading,https://finder.startupnationcentral.org/company_page/seedwiz
752,Bumblebee AI,Data-driven Artificial Pollination Solutions,https://finder.startupnationcentral.org/company_page/bumblebee
753,OurCart,AI-powered Invoice Collection,https://finder.startupnationcentral.org/company_page/ourcart
754,DiagSense,Predictive Maintenance for Mechanical Systems and Pipelines,https://finder.startupnationcentral.org/company_page/diagsense
755,PoultriX,Farm Management Platform,https://finder.startupnationcentral.org/company_page/poultrix
756,indorz,Sensor Technology Solution for Enterprise Cannabis Farms,https://finder.startupnationcentral.org/company_page/indorz
757,QualityLine,Manufacturing Data Analytics,https://finder.startupnationcentral.org/company_page/qualityline-production-technologies
758,Celeno Communications,Wi-Fi Chipsets and Edge Software,https://finder.startupnationcentral.org/company_page/celeno-communications
759,ShieldIOT,IoT Security,https://finder.startupnationcentral.org/company_page/shieldiot
760,Logz.io,Cloud Native Observability Platform for DevOps,https://finder.startupnationcentral.org/company_page/logz-io
761,ICV,Candidate Matching Solution for Human Resources,https://finder.startupnationcentral.org/company_page/icv1
762,Dreamland Technology,Personal Teaching Experience,https://finder.startupnationcentral.org/company_page/dreamland-technology
763,BOTS101,Creative Bot Platform,https://finder.startupnationcentral.org/company_page/bots101
764,PayZen,Zero-interest Payment Plan for Patient Medical Expenses,https://finder.startupnationcentral.org/company_page/payzen
765,Medic Value,Behavioral Modification,https://finder.startupnationcentral.org/company_page/medic-value
766,Agrematch,Computational Discovery of Sustainable Bioactive Compounds,https://finder.startupnationcentral.org/company_page/agrematch
767,Q.AI,Healthcare Resource Management Solution,https://finder.startupnationcentral.org/company_page/q-ai
768,Marmar Media,Cross-platform Advertising Solutions,https://finder.startupnationcentral.org/company_page/marmar-media
769,Efficacy Care,Prescriptive Health Analytics Platform,https://finder.startupnationcentral.org/company_page/efficacy-care
770,ARTcybe,Medical Device Protection System,https://finder.startupnationcentral.org/company_page/artcybe1
771,Workiz,Business Process Management Platform,https://finder.startupnationcentral.org/company_page/workiz
772,Serenus.AI,AI-based Medical Decision-support Platform,https://finder.startupnationcentral.org/company_page/Serenus-AI
773,Justt,AI-based Solution for Credit Card Dispute Resolution,https://finder.startupnationcentral.org/company_page/acrocharge
774,Trailze,AI-based Navigation for Human-scale Vehicles,https://finder.startupnationcentral.org/company_page/trailze
775,Callverso,AI Customer Service Agent for Call Centers,https://finder.startupnationcentral.org/company_page/e2m
776,SeeTrue,AI-based Security Screening,https://finder.startupnationcentral.org/company_page/seetrue
777,Mazor Robotics,Robotic Platform for Spine Surgery,https://finder.startupnationcentral.org/company_page/mazor-robotics
778,Abracadabra Robotics,Socially Assistive Robotics,https://finder.startupnationcentral.org/company_page/abracadabra-robotics
779,NICE,Video Surveillance Solutions for Enterprises,https://finder.startupnationcentral.org/company_page/nice-systems
780,Efficient Frontier,Corporate Trading and Intelligence Technology for Digital Assets,https://finder.startupnationcentral.org/company_page/efficient-frontier
781,Intelligo Group,Business Intelligence and Due Diligence Platform,https://finder.startupnationcentral.org/company_page/intelligo-group
782,Digital Clues,Digital Intelligence Solutions,https://finder.startupnationcentral.org/company_page/3i-mind
783,Paretix,Analytics-based Digital Lending,https://finder.startupnationcentral.org/company_page/paretix
784,Personalics,Predictive Modeling for Optimized Customer Engagement,https://finder.startupnationcentral.org/company_page/personalics
785,CUTheCORNER,Toy Design Software for Kids,https://finder.startupnationcentral.org/company_page/cuthecorner
786,ClearMash,Customer Service Optimization Platform,https://finder.startupnationcentral.org/company_page/clearmash
787,Reps AI,Customer Service Platform Management,https://finder.startupnationcentral.org/company_page/reps-ai
788,Artimedia,Video Advertising Platform,https://finder.startupnationcentral.org/company_page/artimedia
789,PointGrab,Sensing Technology for Workspace Analytics,https://finder.startupnationcentral.org/company_page/pointgrab
790,Referral-AI,Professional Networking Services,https://finder.startupnationcentral.org/company_page/acurerate
791,PathKeeper Surgical,AI-based Navigation System for Spine Surgery,https://finder.startupnationcentral.org/company_page/deep-health
792,Icebreax,Profiling Technology for Debt Collection,https://finder.startupnationcentral.org/company_page/icebreax
793,SafeRide Technologies,AI-driven Vehicle Insights,https://finder.startupnationcentral.org/company_page/saferide
794,Upstream Security,Cloud-based Security Platform for Connected and Autonomous Fleets,https://finder.startupnationcentral.org/company_page/upstream-security
795,Fyllo,Compliance Analysis for Regulated Industries,https://finder.startupnationcentral.org/company_page/fyllo
796,PORTALI,Automated Accounting Software,https://finder.startupnationcentral.org/company_page/portali
797,CCUREx,Cybersecurity for Private Individuals,https://finder.startupnationcentral.org/company_page/ccure
798,BioXtreme,Stroke Rehabilitation Robotics,https://finder.startupnationcentral.org/company_page/bioxtreme
799,Clair Labs,Contact-free Patient Monitoring,https://finder.startupnationcentral.org/company_page/clair-labs
800,Blink,AI-driven Shareable Moments for Gamers,https://finder.startupnationcentral.org/company_page/elastic-media
801,Crowdsense,Social Media Intelligence for Cryptocurrencies,https://finder.startupnationcentral.org/company_page/crowdsense
802,Haystack Magic,Tracking Physical Assets with the Mobile Sharing Economy,https://finder.startupnationcentral.org/company_page/haystack-magic
803,Fifth Dimension,Big Data Processing,https://finder.startupnationcentral.org/company_page/fifth-dimension
804,CaseSee,Turning Financial Lawsuits into Standard Collaterals,https://finder.startupnationcentral.org/company_page/casesee
805,SophistiSoft,Automated Customer Support Solution,https://finder.startupnationcentral.org/company_page/sophistisoft
806,Sherlock Garden,Policy Breach Detection,https://finder.startupnationcentral.org/company_page/sherlock-garden
807,Funnelyzer,eCommerce Personal AI Data Scientist,https://finder.startupnationcentral.org/company_page/funnelyzer
808,Deep AI Technologies,AI Process Acceleration,https://finder.startupnationcentral.org/company_page/deep-ai
809,i4drive,Software-based Driver Safety and Driving Analytics,https://finder.startupnationcentral.org/company_page/i4drive
810,Unami Health,Mobile App for Nutrition Advice,https://finder.startupnationcentral.org/company_page/unami
811,Empirical,Algorithm-based Candidate Screening,https://finder.startupnationcentral.org/company_page/empirical-hire1
812,Stoke Talent,SaaS Platform for Hiring Managers and Corporate Operations,https://finder.startupnationcentral.org/company_page/stoke-talent
813,MedPal Health Solutions,Personalized Medication Management Tool,https://finder.startupnationcentral.org/company_page/medpal-health-solutions
814,PROBOT A.I.,Autonomous Marketing Technology,https://finder.startupnationcentral.org/company_page/probot-a-i
815,KickFlow,Messaging App,https://finder.startupnationcentral.org/company_page/deepchat-ai
816,Singulai,Ethical Machine-powered Intelligence,https://finder.startupnationcentral.org/company_page/exaltation
817,Donde Search,Intuitive Mobile Search for Fashion Items,https://finder.startupnationcentral.org/company_page/donde
818,Autorni,Business Intelligence for Attorneys,https://finder.startupnationcentral.org/company_page/autorni
819,Hanutt,eCommerce Product Comparison Tool,https://finder.startupnationcentral.org/company_page/hanutt
820,Cred,Personalized Wealth Management Platform,https://finder.startupnationcentral.org/company_page/credwi
821,WalkStock,AI-based Human-capital Evaluator,https://finder.startupnationcentral.org/company_page/walkstock
822,Steps&,Physical Therapy Rehabilitation App,https://finder.startupnationcentral.org/company_page/steps
823,Nucleon Cyber,Cyber Threat Intelligence Solutions,https://finder.startupnationcentral.org/company_page/shieldlock
824,MyselfFit,Mobile App for Accurately Measuring Body Fat Percentage,https://finder.startupnationcentral.org/company_page/myselffit
825,Albe,AI-based Credit Application Assessment,https://finder.startupnationcentral.org/company_page/albe
826,SecuredTouch,Mobile Gesture-based Authentication and Fraud Detection,https://finder.startupnationcentral.org/company_page/securedtouch
827,Lightkey Sources,AI-powered Writing Assistant for Windows,https://finder.startupnationcentral.org/company_page/lightkey-sources
